our_code,supplier_code,description,pack_size_ea
LF98PET-011,,Lid Flat PET 98dia Clear fits C98 Container,"1,000"
LFP44PET-011,,Lid Flat Portion PET 44dia Clear,"5,000"
LFP65PET,,Lid Flat Portion PET 65dia Clear,"2,000"
LH4PP-011,,Lid PP Hospital Ins/Mug Clear,"2,000"
LH5PP-011,,Lid PP Round fits Hosp Bowl Clear,"1,000"
LTP011,,Lid PP For TP Chefs Reusable Container Range,210
MF4CT,,Tray MF 4Cup Carrier Unperforated 75pk,300
P1001011L,,Cup Portion PP 26ml Clear with Lid,"2,000"
P150-002,,Plate Paper FSC Snack 150mm Huhtamaki 250pk,"1,000"
P44PP20-011,,Cup Portion PP 20ml Clear,"5,000"
P44PP35-011,,Cup Portion PP 35ml Graduated Clear,"5,000"
P65PET60-011,,Cup Portion PET 60ml Clear,"2,000"
PALLET-CHEP,,Chep Pallets,1
PALLET-PLAIN,,Pallets - Plain,1
PCS002,,Straw Paper FSC Cocktail 5.5mm White 250pk,"10,000"
PCS004,,Straw Paper FSC Cocktail 5.5mm Black 250pk,"10,000"
PET290,,"Cup Pet Cold 290ml Clear ""OBS""","1,000"
PET420-003,,Cup PET Cold 420ml Gilmours 25pk,"1,000"
PET510,,Cup PET Cold 510ml Clear R,"1,000"
PET630,,Cup PET Cold 630ml Clear R,600
PFS002,,Straw Paper FSC Flexi 6mm White 250pk,"5,000"
PFS004,,Straw Paper FSC Flexi 6mm Black 250pk,"5,000"
PS007,,Straw Paper FSC Mixed 6mm x 195mm 250pk,"5,000"
PSS002,,Straw Paper FSC Smoothie 10mm White 250pk,"5,000"
PSS004,,Straw Paper FSC Smoothie 10mm Black 250pk,"5,000"
SC02LB,,Lid SC to fit 2oz SC Portion Cup R,"2,000"
SC02LB-PF,,Lid SC to fit 2oz SC Portion Cup,"2,000"
SC02LP,,Lid PET to fit 2oz SC Portion Cup,"2,000"
SC04LP,,Lid PET to fit 4oz SC Portion Cup,"2,000"
SC10CRND-PF,,Plate Round Sugarcane Future Friendly 10inch 3 Comp,500
SC10SQR-PF,,Plate Square Sugarcane Future Friendly 10x10inch,500
